GII Rank,Country,Gender Inequality Index (GII),Maternal Mortality Ratio,Adolescent Birth Rate,Percent Representation in Parliament,Population with Secondary Education (Female),Population with Secondary Education (Male),Labour Force Participation Rate (Female),Labour Force Participation Rate (Male)
1,Norway,0.067,4,7.8,39.6,97.4,96.7,61.2,68.7
2,Australia,0.11,6,12.1,30.5,94.3,94.6,58.8,71.8
3,Switzerland,0.028,6,1.9,28.5,95,96.6,61.8,74.9
4,Denmark,0.048,5,5.1,38,95.5,96.6,58.7,66.4
5,Netherlands,0.062,6,6.2,36.9,87.7,90.5,58.5,70.6
6,Germany,0.041,7,3.8,36.9,96.3,97,53.6,66.4
6,Ireland,0.113,9,8.2,19.9,80.5,78.6,53.1,68.1
8,United States,0.28,28,31,19.4,95.1,94.8,56.3,68.9
9,Canada,0.129,11,14.5,28.2,100,100,61.6,71
9,New Zealand,0.157,8,25.3,31.4,95,95.3,62,73.8
11,Singapore,0.088,6,6,25.3,74.1,81,58.8,77.2
12,"Hong Kong, China (SAR)",..,..,3.3,..,72.2,79.2,51.3,67.8
13,Liechtenstein,..,..,..,20,..,..,..,..
14,Sweden,0.055,4,6.5,43.6,86.5,87.3,60.3,67.9
14,United Kingdom,0.177,8,25.8,23.5,99.8,99.9,55.7,68.7
16,Iceland,0.087,4,11.5,41.3,91,91.6,70.5,77.4
17,Korea (Republic of),0.125,27,2.2,16.3,77,89.1,50.1,72.1
18,Israel,0.101,2,7.8,22.5,84.4,87.3,57.9,69.1
19,Luxembourg,0.1,11,8.3,28.3,100,100,50.7,64.6
20,Japan,0.133,6,5.4,11.6,87,85.8,48.8,70.4
21,Belgium,0.063,6,6.7,42.4,77.5,82.9,47.5,59.3
22,France,0.088,12,5.7,25.7,78,83.2,50.7,61.6
23,Austria,0.053,4,4.1,30.3,100,100,54.6,67.7
24,Finland,0.075,4,9.2,42.5,100,100,55.7,64
25,Slovenia,0.016,7,0.6,27.7,95.8,98,52.3,63.2
26,Spain,0.095,4,10.6,38,66.8,73.1,52.5,65.8
27,Italy,0.068,4,4,30.1,71.2,80.5,39.6,59.5
28,Czech Republic,0.091,5,4.9,18.9,99.9,99.7,51.1,68.3
29,Greece,0.146,5,11.9,21,59.5,67,44.2,62.5
30,Estonia,0.164,11,16.8,19.8,100,100,56.2,68.9
31,Brunei Darussalam,..,27,23,..,63.9,67.8,52.6,75.3
32,Cyprus,0.124,10,5.5,12.5,76,81.7,56,71.1
32,Qatar,0.524,6,9.5,0,66.7,59,50.8,95.5
34,Andorra,..,..,..,50,49.5,49.3,..,..
35,Slovakia,0.164,7,15.9,18.7,99.1,99.5,51.1,68.6
36,Poland,0.138,3,12.2,22.1,79.4,85.5,48.9,64.9
37,Lithuania,0.125,11,10.6,23.4,89.1,94.3,55.8,67.3
37,Malta,0.227,9,18.2,13,68.6,78.2,37.9,66.3
39,Saudi Arabia,0.284,16,10.2,19.9,60.5,70.3,20.2,78.3
40,Argentina,0.376,69,54.4,36.8,56.3,57.6,47.5,75
41,United Arab Emirates,0.232,8,27.6,17.5,73.1,61.2,46.5,92
42,Chile,0.338,22,55.3,15.8,73.3,76.4,49.2,74.8
43,Portugal,0.111,8,12.6,31.3,47.7,48.2,54.9,66.2
44,Hungary,0.209,14,12.1,10.1,97.9,98.7,44.8,60
45,Bahrain,0.265,22,13.8,15,56.7,51.4,39.2,86.9
46,Latvia,0.167,13,13.5,18,98.9,99,54.9,67.6
47,Croatia,0.149,13,12.7,25.8,85,93.6,44.7,58.4
48,Kuwait,0.387,14,14.5,1.5,55.6,56.3,43.6,83.1
49,Montenegro,0.171,7,15.2,17.3,84.2,94.7,43,57.3
50,Belarus,0.151,1,20.6,30.1,87,92.2,50.1,63.1
50,Russian Federation,0.276,24,25.7,14.5,89.6,92.5,57.1,71.7
52,Oman,0.275,11,10.6,9.6,47.2,57.1,29,82.6
52,Romania,0.333,33,31,12,86.1,92,48.7,64.9
52,Uruguay,0.313,14,58.3,11.5,54.4,50.3,55.6,76.8
55,Bahamas,0.298,37,28.5,16.7,91.2,87.6,69.3,79.3
56,Kazakhstan,0.267,26,29.9,20.1,95.3,98.8,67.7,77.9
57,Barbados,0.357,52,48.4,19.6,89.5,87.7,65.9,76.6
58,Antigua and Barbuda,..,..,49.3,25.7,..,..,..,..
59,Bulgaria,0.212,5,35.9,20.4,93,95.7,47.9,59
60,Palau,..,..,..,10.3,..,..,..,..
60,Panama,0.454,85,78.5,19.3,54,49.9,49,81.8
62,Malaysia,0.209,29,5.7,14.2,65.1,71.3,44.4,75.5
63,Mauritius,0.419,73,30.9,11.6,49.4,58,43.6,74.2
64,Seychelles,..,..,56.3,43.8,66.9,66.6,..,..
64,Trinidad and Tobago,0.371,84,34.8,24.7,59.7,60.9,53,75.5
66,Serbia,0.176,16,16.9,34,58.4,73.6,44.5,60.9
67,Cuba,0.356,80,43.1,48.9,74.3,78.8,43.4,70
67,Lebanon,0.385,16,12,3.1,53,55.4,23.3,70.9
69,Costa Rica,0.349,38,60.8,33.3,50.7,50.5,46.6,79
69,Iran (Islamic Republic of),0.515,23,31.6,3.1,62.2,67.6,16.6,73.6
71,Venezuela (Bolivarian Republic of),0.476,110,83.2,17,56.6,50.8,51.1,79.2
72,Turkey,0.359,20,30.9,14.4,39,60,29.4,70.8
73,Sri Lanka,0.37,29,16.9,5.8,72.7,76.4,35.1,76.3
74,Mexico,0.373,49,63.4,37.1,55.7,60.6,45.1,79.9
75,Brazil,0.457,69,70.8,9.6,54.6,52.4,59.4,80.8
76,Georgia,0.382,41,46.8,11.3,89.7,92.7,56.5,75.1
77,Saint Kitts and Nevis,..,..,..,6.7,..,..,..,..
78,Azerbaijan,0.303,26,40,15.6,93.7,97.4,62.9,69.6
