"HDI.Rank","Country","HDI","Life.Exp","Edu.Exp","Edu.Mean","GNI","GNI.Minus.Rank","GII.Rank","GII","Mat.Mor","Ado.Birth","Parli.F","Edu2.F","Edu2.M","Labo.F","Labo.M","Edu2.FM","Labo.FM"
1,"Norway",0.944,81.6,17.5,12.6,"64,992",5,1,0.067,4,7.8,39.6,97.4,96.7,61.2,68.7,1.00723888314374,0.890829694323144
2,"Australia",0.935,82.4,20.2,13,"42,261",17,2,0.11,6,12.1,30.5,94.3,94.6,58.8,71.8,0.996828752642706,0.818941504178273
3,"Switzerland",0.93,83,15.8,12.8,"56,431",6,3,0.028,6,1.9,28.5,95,96.6,61.8,74.9,0.98343685300207,0.825100133511348
4,"Denmark",0.923,80.2,18.7,12.7,"44,025",11,4,0.048,5,5.1,38,95.5,96.6,58.7,66.4,0.988612836438924,0.884036144578313
5,"Netherlands",0.922,81.6,17.9,11.9,"45,435",9,5,0.062,6,6.2,36.9,87.7,90.5,58.5,70.6,0.969060773480663,0.828611898016997
6,"Germany",0.916,80.9,16.5,13.1,"43,919",11,6,0.041,7,3.8,36.9,96.3,97,53.6,66.4,0.992783505154639,0.807228915662651
6,"Ireland",0.916,80.9,18.6,12.2,"39,568",16,6,0.113,9,8.2,19.9,80.5,78.6,53.1,68.1,1.02417302798982,0.779735682819383
8,"United States",0.915,79.1,16.5,12.9,"52,947",3,8,0.28,28,31,19.4,95.1,94.8,56.3,68.9,1.00316455696203,0.817126269956459
9,"Canada",0.913,82,15.9,13,"42,155",11,9,0.129,11,14.5,28.2,100,100,61.6,71,1,0.867605633802817
9,"New Zealand",0.913,81.8,19.2,12.5,"32,689",23,9,0.157,8,25.3,31.4,95,95.3,62,73.8,0.99685204616999,0.840108401084011
11,"Singapore",0.912,83,15.4,10.6,"76,628",-7,11,0.088,6,6,25.3,74.1,81,58.8,77.2,0.914814814814815,0.761658031088083
12,"Hong Kong, China (SAR)",0.91,84,15.6,11.2,"53,959",-2,12,NA,NA,3.3,NA,72.2,79.2,51.3,67.8,0.911616161616162,0.756637168141593
13,"Liechtenstein",0.908,80,15,11.8,"79,851",-10,13,NA,NA,NA,20,NA,NA,NA,NA,NA,NA
14,"Sweden",0.907,82.2,15.8,12.1,"45,636",-1,14,0.055,4,6.5,43.6,86.5,87.3,60.3,67.9,0.990836197021764,0.888070692194403
14,"United Kingdom",0.907,80.7,16.2,13.1,"39,267",9,14,0.177,8,25.8,23.5,99.8,99.9,55.7,68.7,0.998998998998999,0.810771470160116
16,"Iceland",0.899,82.6,19,10.6,"35,182",12,16,0.087,4,11.5,41.3,91,91.6,70.5,77.4,0.993449781659389,0.910852713178295
17,"Korea (Republic of)",0.898,81.9,16.9,11.9,"33,890",13,17,0.125,27,2.2,16.3,77,89.1,50.1,72.1,0.864197530864198,0.694868238557559
18,"Israel",0.894,82.4,16,12.5,"30,676",16,18,0.101,2,7.8,22.5,84.4,87.3,57.9,69.1,0.966781214203895,0.837916063675832
19,"Luxembourg",0.892,81.7,13.9,11.7,"58,711",-11,19,0.1,11,8.3,28.3,100,100,50.7,64.6,1,0.784829721362229
20,"Japan",0.891,83.5,15.3,11.5,"36,927",7,20,0.133,6,5.4,11.6,87,85.8,48.8,70.4,1.01398601398601,0.693181818181818
21,"Belgium",0.89,80.8,16.3,11.3,"41,187",0,21,0.063,6,6.7,42.4,77.5,82.9,47.5,59.3,0.934861278648975,0.801011804384486
22,"France",0.888,82.2,16,11.1,"38,056",4,22,0.088,12,5.7,25.7,78,83.2,50.7,61.6,0.9375,0.823051948051948
23,"Austria",0.885,81.4,15.7,10.8,"43,869",-5,23,0.053,4,4.1,30.3,100,100,54.6,67.7,1,0.806499261447563
24,"Finland",0.883,80.8,17.1,10.3,"38,695",0,24,0.075,4,9.2,42.5,100,100,55.7,64,1,0.8703125
25,"Slovenia",0.88,80.4,16.8,11.9,"27,852",12,25,0.016,7,0.6,27.7,95.8,98,52.3,63.2,0.977551020408163,0.82753164556962
26,"Spain",0.876,82.6,17.3,9.6,"32,045",7,26,0.095,4,10.6,38,66.8,73.1,52.5,65.8,0.913816689466484,0.797872340425532
27,"Italy",0.873,83.1,16,10.1,"33,030",4,27,0.068,4,4,30.1,71.2,80.5,39.6,59.5,0.884472049689441,0.665546218487395
28,"Czech Republic",0.87,78.6,16.4,12.3,"26,660",10,28,0.091,5,4.9,18.9,99.9,99.7,51.1,68.3,1.00200601805416,0.748169838945827
29,"Greece",0.865,80.9,17.6,10.3,"24,524",14,29,0.146,5,11.9,21,59.5,67,44.2,62.5,0.888059701492537,0.7072
30,"Estonia",0.861,76.8,16.5,12.5,"25,214",12,30,0.164,11,16.8,19.8,100,100,56.2,68.9,1,0.815674891146589
31,"Brunei Darussalam",0.856,78.8,14.5,8.8,"72,570",-26,31,NA,27,23,NA,63.9,67.8,52.6,75.3,0.942477876106195,0.698539176626826
32,"Cyprus",0.85,80.2,14,11.6,"28,633",3,32,0.124,10,5.5,12.5,76,81.7,56,71.1,0.930232558139535,0.787623066104079
32,"Qatar",0.85,78.2,13.8,9.1,"123,124",-31,32,0.524,6,9.5,0,66.7,59,50.8,95.5,1.13050847457627,0.531937172774869
34,"Andorra",0.845,81.3,13.5,9.6,"43,978",-18,34,NA,NA,NA,50,49.5,49.3,NA,NA,1.00405679513185,NA
35,"Slovakia",0.844,76.3,15.1,12.2,"25,845",5,35,0.164,7,15.9,18.7,99.1,99.5,51.1,68.6,0.995979899497487,0.744897959183674
36,"Poland",0.843,77.4,15.5,11.8,"23,177",10,36,0.138,3,12.2,22.1,79.4,85.5,48.9,64.9,0.928654970760234,0.75346687211094
37,"Lithuania",0.839,73.3,16.4,12.4,"24,500",7,37,0.125,11,10.6,23.4,89.1,94.3,55.8,67.3,0.944856839872746,0.829123328380386
37,"Malta",0.839,80.6,14.4,10.3,"27,930",-1,37,0.227,9,18.2,13,68.6,78.2,37.9,66.3,0.877237851662404,0.571644042232277
39,"Saudi Arabia",0.837,74.3,16.3,8.7,"52,821",-27,39,0.284,16,10.2,19.9,60.5,70.3,20.2,78.3,0.860597439544808,0.257982120051086
40,"Argentina",0.836,76.3,17.9,9.8,"22,050",11,40,0.376,69,54.4,36.8,56.3,57.6,47.5,75,0.977430555555555,0.633333333333333
41,"United Arab Emirates",0.835,77,13.3,9.5,"60,868",-34,41,0.232,8,27.6,17.5,73.1,61.2,46.5,92,1.19444444444444,0.505434782608696
42,"Chile",0.832,81.7,15.2,9.8,"21,290",11,42,0.338,22,55.3,15.8,73.3,76.4,49.2,74.8,0.959424083769633,0.657754010695187
43,"Portugal",0.83,80.9,16.3,8.2,"25,757",-2,43,0.111,8,12.6,31.3,47.7,48.2,54.9,66.2,0.989626556016598,0.829305135951662
44,"Hungary",0.828,75.2,15.4,11.6,"22,916",3,44,0.209,14,12.1,10.1,97.9,98.7,44.8,60,0.991894630192503,0.746666666666667
45,"Bahrain",0.824,76.6,14.4,9.4,"38,599",-20,45,0.265,22,13.8,15,56.7,51.4,39.2,86.9,1.10311284046693,0.451093210586881
46,"Latvia",0.819,74.2,15.2,11.5,"22,281",4,46,0.167,13,13.5,18,98.9,99,54.9,67.6,0.998989898989899,0.812130177514793
47,"Croatia",0.818,77.3,14.8,11,"19,409",11,47,0.149,13,12.7,25.8,85,93.6,44.7,58.4,0.908119658119658,0.76541095890411
48,"Kuwait",0.816,74.4,14.7,7.2,"83,961",-46,48,0.387,14,14.5,1.5,55.6,56.3,43.6,83.1,0.987566607460036,0.524669073405536
49,"Montenegro",0.802,76.2,15.2,11.2,"14,558",27,49,0.171,7,15.2,17.3,84.2,94.7,43,57.3,0.889123548046463,0.75043630017452
50,"Belarus",0.798,71.3,15.7,12,"16,676",14,50,0.151,1,20.6,30.1,87,92.2,50.1,63.1,0.943600867678959,0.793977812995246
50,"Russian Federation",0.798,70.1,14.7,12,"22,352",-1,50,0.276,24,25.7,14.5,89.6,92.5,57.1,71.7,0.968648648648649,0.796373779637378
52,"Oman",0.793,76.8,13.6,8,"34,858",-23,52,0.275,11,10.6,9.6,47.2,57.1,29,82.6,0.82661996497373,0.351089588377724
52,"Romania",0.793,74.7,14.2,10.8,"18,108",10,52,0.333,33,31,12,86.1,92,48.7,64.9,0.935869565217391,0.750385208012327
52,"Uruguay",0.793,77.2,15.5,8.5,"19,283",7,52,0.313,14,58.3,11.5,54.4,50.3,55.6,76.8,1.08151093439364,0.723958333333333
55,"Bahamas",0.79,75.4,12.6,10.9,"21,336",-3,55,0.298,37,28.5,16.7,91.2,87.6,69.3,79.3,1.04109589041096,0.873896595208071
56,"Kazakhstan",0.788,69.4,15,11.4,"20,867",-1,56,0.267,26,29.9,20.1,95.3,98.8,67.7,77.9,0.964574898785425,0.869062901155327
57,"Barbados",0.785,75.6,15.4,10.5,"12,488",27,57,0.357,52,48.4,19.6,89.5,87.7,65.9,76.6,1.02052451539339,0.860313315926893
58,"Antigua and Barbuda",0.783,76.1,14,9.2,"20,070",-1,58,NA,NA,49.3,25.7,NA,NA,NA,NA,NA,NA
59,"Bulgaria",0.782,74.2,14.4,10.6,"15,596",13,59,0.212,5,35.9,20.4,93,95.7,47.9,59,0.971786833855799,0.811864406779661
60,"Palau",0.78,72.7,13.7,12.3,"13,496",18,60,NA,NA,NA,10.3,NA,NA,NA,NA,NA,NA
60,"Panama",0.78,77.6,13.3,9.3,"18,192",1,60,0.454,85,78.5,19.3,54,49.9,49,81.8,1.08216432865731,0.599022004889976
62,"Malaysia",0.779,74.7,12.7,10,"22,762",-14,62,0.209,29,5.7,14.2,65.1,71.3,44.4,75.5,0.91304347826087,0.588079470198675
63,"Mauritius",0.777,74.4,15.6,8.5,"17,470",0,63,0.419,73,30.9,11.6,49.4,58,43.6,74.2,0.851724137931034,0.587601078167116
64,"Seychelles",0.772,73.1,13.4,9.4,"23,300",-19,64,NA,NA,56.3,43.8,66.9,66.6,NA,NA,1.0045045045045,NA
64,"Trinidad and Tobago",0.772,70.4,12.3,10.9,"26,090",-25,64,0.371,84,34.8,24.7,59.7,60.9,53,75.5,0.980295566502463,0.701986754966887
66,"Serbia",0.771,74.9,14.4,10.5,"12,190",20,66,0.176,16,16.9,34,58.4,73.6,44.5,60.9,0.793478260869565,0.730706075533662
67,"Cuba",0.769,79.4,13.8,11.5,"7,301",47,67,0.356,80,43.1,48.9,74.3,78.8,43.4,70,0.942893401015228,0.62
67,"Lebanon",0.769,79.3,13.8,7.9,"16,509",-1,67,0.385,16,12,3.1,53,55.4,23.3,70.9,0.956678700361011,0.328631875881523
69,"Costa Rica",0.766,79.4,13.9,8.4,"13,413",10,69,0.349,38,60.8,33.3,50.7,50.5,46.6,79,1.0039603960396,0.589873417721519
69,"Iran (Islamic Republic of)",0.766,75.4,15.1,8.2,"15,440",4,69,0.515,23,31.6,3.1,62.2,67.6,16.6,73.6,0.920118343195266,0.22554347826087
71,"Venezuela (Bolivarian Republic of)",0.762,74.2,14.2,8.9,"16,159",-2,71,0.476,110,83.2,17,56.6,50.8,51.1,79.2,1.11417322834646,0.64520202020202
72,"Turkey",0.761,75.3,14.5,7.6,"18,677",-12,72,0.359,20,30.9,14.4,39,60,29.4,70.8,0.65,0.415254237288136
73,"Sri Lanka",0.757,74.9,13.7,10.8,"9,779",29,73,0.37,29,16.9,5.8,72.7,76.4,35.1,76.3,0.951570680628272,0.46002621231979
74,"Mexico",0.756,76.8,13.1,8.5,"16,056",-4,74,0.373,49,63.4,37.1,55.7,60.6,45.1,79.9,0.919141914191419,0.564455569461827
