"Edu2.FM","Labour.FM","Edu.Expected","GNI","Maternal.Mortality","Percent.Parliament.F"
"Norway",1.00723888314374,0.890829694323144,17.5,64992,4,39.6
"Australia",0.996828752642706,0.818941504178273,20.2,42261,6,30.5
"Switzerland",0.98343685300207,0.825100133511348,15.8,56431,6,28.5
"Denmark",0.988612836438924,0.884036144578313,18.7,44025,5,38
"Netherlands",0.969060773480663,0.828611898016997,17.9,45435,6,36.9
"Germany",0.992783505154639,0.807228915662651,16.5,43919,7,36.9
"Ireland",1.02417302798982,0.779735682819383,18.6,39568,9,19.9
"United States",1.00316455696203,0.817126269956459,16.5,52947,28,19.4
"Canada",1,0.867605633802817,15.9,42155,11,28.2
"New Zealand",0.99685204616999,0.840108401084011,19.2,32689,8,31.4
"Singapore",0.914814814814815,0.761658031088083,15.4,76628,6,25.3
"Sweden",0.990836197021764,0.888070692194403,15.8,45636,4,43.6
"United Kingdom",0.998998998998999,0.810771470160116,16.2,39267,8,23.5
"Iceland",0.993449781659389,0.910852713178295,19,35182,4,41.3
"Korea (Republic of)",0.864197530864198,0.694868238557559,16.9,33890,27,16.3
"Israel",0.966781214203895,0.837916063675832,16,30676,2,22.5
"Luxembourg",1,0.784829721362229,13.9,58711,11,28.3
"Japan",1.01398601398601,0.693181818181818,15.3,36927,6,11.6
"Belgium",0.934861278648975,0.801011804384486,16.3,41187,6,42.4
"France",0.9375,0.823051948051948,16,38056,12,25.7
"Austria",1,0.806499261447563,15.7,43869,4,30.3
"Finland",1,0.8703125,17.1,38695,4,42.5
"Slovenia",0.977551020408163,0.82753164556962,16.8,27852,7,27.7
"Spain",0.913816689466484,0.797872340425532,17.3,32045,4,38
"Italy",0.884472049689441,0.665546218487395,16,33030,4,30.1
"Czech Republic",1.00200601805416,0.748169838945827,16.4,26660,5,18.9
"Greece",0.888059701492537,0.7072,17.6,24524,5,21
"Estonia",1,0.815674891146589,16.5,25214,11,19.8
"Cyprus",0.930232558139535,0.787623066104079,14,28633,10,12.5
"Qatar",1.13050847457627,0.531937172774869,13.8,123124,6,0
"Slovakia",0.995979899497487,0.744897959183674,15.1,25845,7,18.7
"Poland",0.928654970760234,0.75346687211094,15.5,23177,3,22.1
"Lithuania",0.944856839872746,0.829123328380386,16.4,24500,11,23.4
"Malta",0.877237851662404,0.571644042232277,14.4,27930,9,13
"Saudi Arabia",0.860597439544808,0.257982120051086,16.3,52821,16,19.9
"Argentina",0.977430555555555,0.633333333333333,17.9,22050,69,36.8
"United Arab Emirates",1.19444444444444,0.505434782608696,13.3,60868,8,17.5
"Chile",0.959424083769633,0.657754010695187,15.2,21290,22,15.8
"Portugal",0.989626556016598,0.829305135951662,16.3,25757,8,31.3
"Hungary",0.991894630192503,0.746666666666667,15.4,22916,14,10.1
