HDI Rank,Country,Human Development Index (HDI),Life Expectancy at Birth,Expected Years of Education,Mean Years of Education,Gross National Income (GNI) per Capita,GNI per Capita Rank Minus HDI Rank
1,Norway,0.944,81.6,17.5,12.6,"64,992",5
2,Australia,0.935,82.4,20.2,13.0,"42,261",17
3,Switzerland,0.930,83.0,15.8,12.8,"56,431",6
4,Denmark,0.923,80.2,18.7,12.7,"44,025",11
5,Netherlands,0.922,81.6,17.9,11.9,"45,435",9
6,Germany,0.916,80.9,16.5,13.1,"43,919",11
6,Ireland,0.916,80.9,18.6,12.2,"39,568",16
8,United States,0.915,79.1,16.5,12.9,"52,947",3
9,Canada,0.913,82.0,15.9,13.0,"42,155",11
9,New Zealand,0.913,81.8,19.2,12.5,"32,689",23
11,Singapore,0.912,83.0,15.4,10.6,"76,628",-7
12,"Hong Kong, China (SAR)",0.910,84.0,15.6,11.2,"53,959",-2
13,Liechtenstein,0.908,80.0,15.0,11.8,"79,851",-10
14,Sweden,0.907,82.2,15.8,12.1,"45,636",-1
14,United Kingdom,0.907,80.7,16.2,13.1,"39,267",9
16,Iceland,0.899,82.6,19.0,10.6,"35,182",12
17,Korea (Republic of),0.898,81.9,16.9,11.9,"33,890",13
18,Israel,0.894,82.4,16.0,12.5,"30,676",16
19,Luxembourg,0.892,81.7,13.9,11.7,"58,711",-11
20,Japan,0.891,83.5,15.3,11.5,"36,927",7
21,Belgium,0.890,80.8,16.3,11.3,"41,187",0
22,France,0.888,82.2,16.0,11.1,"38,056",4
23,Austria,0.885,81.4,15.7,10.8,"43,869",-5
24,Finland,0.883,80.8,17.1,10.3,"38,695",0
25,Slovenia,0.880,80.4,16.8,11.9,"27,852",12
26,Spain,0.876,82.6,17.3,9.6,"32,045",7
27,Italy,0.873,83.1,16.0,10.1,"33,030",4
28,Czech Republic,0.870,78.6,16.4,12.3,"26,660",10
29,Greece,0.865,80.9,17.6,10.3,"24,524",14
30,Estonia,0.861,76.8,16.5,12.5,"25,214",12
31,Brunei Darussalam,0.856,78.8,14.5,8.8,"72,570",-26
32,Cyprus,0.850,80.2,14.0,11.6,"28,633",3
32,Qatar,0.850,78.2,13.8,9.1,"123,124",-31
34,Andorra,0.845,81.3,13.5,9.6,"43,978",-18
35,Slovakia,0.844,76.3,15.1,12.2,"25,845",5
36,Poland,0.843,77.4,15.5,11.8,"23,177",10
37,Lithuania,0.839,73.3,16.4,12.4,"24,500",7
37,Malta,0.839,80.6,14.4,10.3,"27,930",-1
39,Saudi Arabia,0.837,74.3,16.3,8.7,"52,821",-27
40,Argentina,0.836,76.3,17.9,9.8,"22,050",11
41,United Arab Emirates,0.835,77.0,13.3,9.5,"60,868",-34
42,Chile,0.832,81.7,15.2,9.8,"21,290",11
43,Portugal,0.830,80.9,16.3,8.2,"25,757",-2
44,Hungary,0.828,75.2,15.4,11.6,"22,916",3
45,Bahrain,0.824,76.6,14.4,9.4,"38,599",-20
46,Latvia,0.819,74.2,15.2,11.5,"22,281",4
47,Croatia,0.818,77.3,14.8,11.0,"19,409",11
48,Kuwait,0.816,74.4,14.7,7.2,"83,961",-46
49,Montenegro,0.802,76.2,15.2,11.2,"14,558",27
50,Belarus,0.798,71.3,15.7,12.0,"16,676",14
50,Russian Federation,0.798,70.1,14.7,12.0,"22,352",-1
52,Oman,0.793,76.8,13.6,8.0,"34,858",-23
52,Romania,0.793,74.7,14.2,10.8,"18,108",10
52,Uruguay,0.793,77.2,15.5,8.5,"19,283",7
55,Bahamas,0.790,75.4,12.6,10.9,"21,336",-3
56,Kazakhstan,0.788,69.4,15.0,11.4,"20,867",-1
57,Barbados,0.785,75.6,15.4,10.5,"12,488",27
58,Antigua and Barbuda,0.783,76.1,14.0,9.2,"20,070",-1
59,Bulgaria,0.782,74.2,14.4,10.6,"15,596",13
60,Palau,0.780,72.7,13.7,12.3,"13,496",18
60,Panama,0.780,77.6,13.3,9.3,"18,192",1
62,Malaysia,0.779,74.7,12.7,10.0,"22,762",-14
63,Mauritius,0.777,74.4,15.6,8.5,"17,470",0
64,Seychelles,0.772,73.1,13.4,9.4,"23,300",-19
64,Trinidad and Tobago,0.772,70.4,12.3,10.9,"26,090",-25
66,Serbia,0.771,74.9,14.4,10.5,"12,190",20
67,Cuba,0.769,79.4,13.8,11.5,"7,301",47
67,Lebanon,0.769,79.3,13.8,7.9,"16,509",-1
69,Costa Rica,0.766,79.4,13.9,8.4,"13,413",10
69,Iran (Islamic Republic of),0.766,75.4,15.1,8.2,"15,440",4
71,Venezuela (Bolivarian Republic of),0.762,74.2,14.2,8.9,"16,159",-2
72,Turkey,0.761,75.3,14.5,7.6,"18,677",-12
73,Sri Lanka,0.757,74.9,13.7,10.8,"9,779",29
74,Mexico,0.756,76.8,13.1,8.5,"16,056",-4
75,Brazil,0.755,74.5,15.2,7.7,"15,175",-1
76,Georgia,0.754,74.9,13.8,12.1,"7,164",40
77,Saint Kitts and Nevis,0.752,73.8,12.9,8.4,"20,805",-21
78,Azerbaijan,0.751,70.8,11.9,11.2,"16,428",-11
79,Grenada,0.750,73.4,15.8,8.6,"10,939",14
80,Jordan,0.748,74.0,13.5,9.9,"11,365",11
81,The former Yugoslav Republic of Macedonia,0.747,75.4,13.4,9.3,"11,780",9
81,Ukraine,0.747,71.0,15.1,11.3,"8,178",25
83,Algeria,0.736,74.8,14.0,7.6,"13,054",-1
84,Peru,0.734,74.6,13.1,9.0,"11,015",8
85,Albania,0.733,77.8,11.8,9.3,"9,943",14
85,Armenia,0.733,74.7,12.3,10.9,"8,124",22
85,Bosnia and Herzegovina,0.733,76.5,13.6,8.3,"9,638",19
88,Ecuador,0.732,75.9,14.2,7.6,"10,605",7
89,Saint Lucia,0.729,75.1,12.6,9.3,"9,765",14
90,China,0.727,75.8,13.1,7.5,"12,547",-7
90,Fiji,0.727,70.0,15.7,9.9,"7,493",21
90,Mongolia,0.727,69.4,14.6,9.3,"10,729",4
93,Thailand,0.726,74.4,13.5,7.3,"13,323",-13
94,Dominica,0.724,77.8,12.7,7.9,"9,994",4
94,Libya,0.724,71.6,14.0,7.3,"14,911",-19
96,Tunisia,0.721,74.8,14.6,6.8,"10,404",1
97,Colombia,0.720,74.0,13.5,7.3,"12,040",-9
97,Saint Vincent and the Grenadines,0.720,72.9,13.4,8.6,"9,937",3
99,Jamaica,0.719,75.7,12.4,9.7,"7,415",13
100,Tonga,0.717,72.8,14.7,10.7,"5,069",32
101,Belize,0.715,70.0,13.6,10.5,"7,614",9
101,Dominican Republic,0.715,73.5,13.1,7.6,"11,883",-12
103,Suriname,0.714,71.1,12.7,7.7,"15,617",-32
104,Maldives,0.706,76.8,13.0,5.8,"12,328",-19
