"gender","age","attitude","deep","stra","surf","points"
"F",53,3.7,3.58333333333333,3.375,2.58333333333333,25
"M",55,3.1,2.91666666666667,2.75,3.16666666666667,12
"F",49,2.5,3.5,3.625,2.25,24
"M",53,3.5,3.5,3.125,2.25,10
"M",49,3.7,3.66666666666667,3.625,2.83333333333333,22
"F",38,3.8,4.75,3.625,2.41666666666667,21
"M",50,3.5,3.83333333333333,2.25,1.91666666666667,21
"F",37,2.9,3.25,4,2.83333333333333,31
"M",37,3.8,4.33333333333333,4.25,2.16666666666667,24
"F",42,2.1,4,3.5,3,26
"M",37,3.9,3.58333333333333,3.625,2.66666666666667,31
"F",34,3.8,3.83333333333333,4.75,2.41666666666667,31
"F",34,2.4,4.25,3.625,2.25,23
"F",34,3,3.33333333333333,3.5,2.75,25
"M",35,2.6,4.16666666666667,1.75,2.33333333333333,21
"F",33,4.1,3.66666666666667,3.875,2.33333333333333,31
"F",32,2.6,4.08333333333333,1.375,2.91666666666667,20
"F",44,2.6,3.5,3.25,2.5,22
"M",29,1.7,4.08333333333333,3,3.75,9
"F",30,2.7,4,3.75,2.75,24
"M",27,3.9,3.91666666666667,2.625,2.33333333333333,28
"M",29,3.4,4,2.375,2.41666666666667,30
"F",31,2.7,4,3.625,3,24
"F",37,2.3,3.66666666666667,2.75,2.41666666666667,9
"F",26,3.7,3.66666666666667,1.75,2.83333333333333,26
"F",26,4.4,4.41666666666667,3.25,3.16666666666667,32
"M",30,4.1,3.91666666666667,4,3,32
"F",33,3.7,3.75,3.625,2,33
"F",33,2.5,3.25,2.875,3.5,29
"M",28,3,3.58333333333333,3,3.75,30
"M",26,3.4,4.91666666666667,1.625,2.5,19
"F",27,3.2,3.58333333333333,3.25,2.08333333333333,23
"F",25,2,2.91666666666667,3.5,2.41666666666667,19
"F",31,2.4,3.66666666666667,3,2.58333333333333,12
"M",20,4.2,4.5,3.25,1.58333333333333,10
"F",39,1.6,4.08333333333333,1.875,2.83333333333333,11
"M",38,3.1,3.83333333333333,4.375,1.83333333333333,20
"M",24,3.8,3.25,3.625,2.41666666666667,26
"M",26,3.8,2.33333333333333,2.5,3.25,31
"M",25,3.3,3.33333333333333,1.25,3.41666666666667,20
